Date,Station,Depth.m,Temperature.C,Salinity.PSU,Density.kg.m^-3,PAR,Fluorescence.mg.m^-3,Turbidity.NTU,Beam.1.m^-1,OxygenConcentration.umole.kg^-1,OxygenSaturation
20170912,4,10.66,14.1095,31.8369,23.7218,2.02E+02,2.2012,0.0004,6.9264,264.246,102.49816
20170912,4,10.899,14.1044,31.8367,23.7226,1.90E+02,2.2592,0.0004,6.9126,263.773,102.3041
20170912,4,11.097,14.0986,31.836,23.7233,1.83E+02,2.3736,0.0004,6.9057,263.552,102.2064
20170912,4,11.319,14.0929,31.8355,23.7241,1.77E+02,2.3927,0.0004,6.8782,263.245,102.075
20170912,4,11.584,14.085,31.8413,23.7302,1.70E+02,2.4598,0.0004,6.8656,262.898,101.92834
20170912,4,11.804,14.0311,31.8634,23.7583,1.63E+02,2.4636,0.0004,6.8496,262.415,101.6462
20170912,4,11.913,14.0133,31.8675,23.7651,1.56E+02,2.5056,0.0004,6.8438,261.784,101.3683
20170912,4,12.016,13.9978,31.8691,23.7695,1.53E+02,2.5056,0.0004,6.8413,261.31,101.15429
20170912,4,12.236,13.9278,31.9032,23.8102,1.48E+02,2.4743,0.0003,6.8322,261.03,100.92742
20170912,4,12.519,13.7869,31.9512,23.8759,1.42E+02,2.4728,0.0003,6.8313,261.548,100.87378
20170912,4,12.754,13.6934,31.9673,23.9073,1.34E+02,2.4995,0.0004,6.8289,262.192,100.94223
20170912,4,12.919,13.6577,31.9631,23.9112,1.28E+02,2.5056,0.0004,6.8268,262.705,101.06344
20170912,4,13.056,13.65,31.958,23.9088,1.25E+02,2.5399,0.0004,6.826,262.987,101.15227
20170912,4,13.218,13.6404,31.9592,23.9117,1.22E+02,2.5544,0.0004,6.8318,263.136,101.1911
20170912,4,13.418,13.6146,31.9664,23.9225,1.16E+02,2.5827,0.0004,6.8343,263.104,101.1306
20170912,4,13.646,13.4941,32.0182,23.9866,1.11E+02,2.6033,0.0004,6.8375,263.023,100.88895
20170912,4,13.884,13.2666,32.1005,24.0956,1.06E+02,2.6139,0.0003,6.8149,263.234,100.56077
20170912,4,14.104,13.1374,32.1251,24.14,1.02E+02,2.6277,0.0003,6.8019,263.406,100.37817
20170912,4,14.305,13.108,32.1316,24.1509,9.85E+01,2.6757,0.0003,6.8741,263.56,100.38091
20170912,4,14.511,13.0984,32.1315,24.1527,9.36E+01,2.7749,0.0004,6.8609,264.099,100.56625
20170912,4,14.722,13.0949,32.1297,24.152,8.92E+01,2.8047,0.0004,6.8219,264.772,100.81434
20170912,4,14.914,13.0881,32.1338,24.1565,8.59E+01,2.9206,0.0003,6.8023,264.79,100.80986
20170912,4,15.084,13.0685,32.1424,24.167,8.39E+01,2.9184,0.0003,6.7892,263.903,100.43806
20170912,4,15.252,13.0302,32.1584,24.1869,8.13E+01,2.884,0.0003,6.7658,262.521,99.84479
20170912,4,15.46,12.998,32.1796,24.2096,7.77E+01,2.8848,0.0003,6.7647,261.492,99.40274
20170912,4,15.684,12.9648,32.2056,24.2362,7.38E+01,2.8031,0.0003,6.7708,261.457,99.33949
20170912,4,15.883,12.9323,32.2204,24.254,7.11E+01,2.7986,0.0003,6.7645,262.092,99.52475
20170912,4,16.045,12.913,32.2308,24.2658,6.93E+01,2.6979,0.0003,6.7593,262.499,99.64705
20170912,4,16.213,12.909,32.2381,24.2723,6.75E+01,2.6757,0.0003,6.7477,262.692,99.71724
20170912,4,16.419,12.9005,32.2393,24.2748,6.52E+01,2.7017,0.0003,6.7427,262.584,99.65967
20170912,4,16.633,12.8956,32.2471,24.2819,6.23E+01,2.7124,0.0003,6.7277,262.523,99.632
20170912,4,16.853,12.8728,32.2588,24.2954,5.96E+01,2.7268,0.0003,6.7244,262.847,99.7163
20170912,4,17.116,12.8526,32.2654,24.3043,5.73E+01,2.7375,0.0003,6.7214,262.924,99.7087
20170912,4,17.391,12.7901,32.285,24.3317,5.46E+01,2.7375,0.0003,6.7182,263.047,99.64098
