Date (MM/DD/YYYY),Year,Month,Day,Time (HH:mm:ss),Time (Fract. Sec),Site Name,Chlorophyll RFU,Cond µS/cm,Depth m,nLF Cond µS/cm,Pressure psi a,Sal psu,SpCond µS/cm,TAL PE RFU,TDS mg/L,pH,pH mV,Temp C,Vertical Position m,GPS Latitude °,GPS Longitude °,Altitude m,Battery V,Cable Pwr V,Barometer mmHg
1/14/2020,2020,1,14,10:15:04,0,BLOSdock1,0.11,30225.2,0,49581.5,0.73,31.25,48864.2,0.15,31762,18.05,-608.5,5.029,0.507,43.86049,-69.57817,3.4,2.47,12,771.3
1/14/2020,2020,1,14,10:15:05,0,BLOSdock1,0.11,30224,0.001,49581.2,0.732,31.25,48863.9,0.16,31762,18.05,-608.5,5.028,0.538,43.86049,-69.57817,3.4,2.47,12,771.3
1/14/2020,2020,1,14,10:15:06,0,BLOSdock1,0.11,30222.8,0.011,49581.4,0.746,31.25,48864.2,0.19,31762,18.05,-608.5,5.026,0.584,43.86049,-69.57817,3.5,2.47,12,771.3
1/14/2020,2020,1,14,10:15:07,0,BLOSdock1,0.12,30219.3,0.023,49578.6,0.763,31.25,48861.6,0.2,31760,18.05,-608.5,5.024,0.636,43.86049,-69.57817,3.5,2.47,12,771.4
1/14/2020,2020,1,14,10:15:08,0,BLOSdock1,0.11,30217.7,0.04,49577.7,0.788,31.25,48860.8,0.22,31760,18.05,-608.5,5.023,0.672,43.86049,-69.57817,3.4,2.47,12,771.3
1/14/2020,2020,1,14,10:15:09,0,BLOSdock1,0.11,30216,0.065,49577.1,0.825,31.25,48860.3,0.21,31759,18.05,-608.5,5.022,0.76,43.86049,-69.57817,3.5,2.47,12,771.3
1/14/2020,2020,1,14,10:15:10,0,BLOSdock1,0.11,30214.2,0.106,49575.6,0.884,31.25,48858.9,0.22,31758,18.05,-608.5,5.021,0.864,43.86049,-69.57818,3.6,2.47,12,771.3
1/14/2020,2020,1,14,10:15:11,0,BLOSdock1,0.11,30211.9,0.147,49572.6,0.944,31.24,48856,0.26,31756,18.05,-608.5,5.02,0.909,43.86049,-69.57818,3.8,2.47,12,771.4
1/14/2020,2020,1,14,10:15:12,0,BLOSdock1,0.11,30209.9,0.196,49570.1,1.016,31.24,48853.6,0.25,31755,18.05,-608.5,5.02,0.99,43.86049,-69.57818,4.1,2.47,12,771.3
1/14/2020,2020,1,14,10:15:13,0,BLOSdock1,0.11,30208.4,0.25,49567.7,1.094,31.24,48851.2,0.19,31753,18.05,-608.5,5.02,1.015,43.86049,-69.57818,4.2,2.47,12,771.3
1/14/2020,2020,1,14,10:15:14,0,BLOSdock1,0.12,30206.4,0.306,49564.8,1.176,31.24,48848.3,0.18,31751,18.05,-608.5,5.019,1.078,43.86049,-69.57817,4.3,2.47,12,771.4
1/14/2020,2020,1,14,10:15:15,0,BLOSdock1,0.12,30206.1,0.378,49564.3,1.28,31.24,48847.9,0.17,31751,18.05,-608.5,5.019,1.157,43.86049,-69.57818,4.6,2.47,12,771.4
1/14/2020,2020,1,14,10:15:16,0,BLOSdock1,0.12,30206.1,0.441,49563.6,1.372,31.24,48847.1,0.16,31751,18.05,-608.5,5.02,1.249,43.86049,-69.57818,4.6,2.47,12,771.3
1/14/2020,2020,1,14,10:15:17,0,BLOSdock1,0.13,30207.2,0.507,49564.6,1.469,31.24,48848.1,0.16,31751,18.05,-608.5,5.02,1.293,43.86049,-69.57817,4.6,2.47,12,771.5
1/14/2020,2020,1,14,10:15:18,0,BLOSdock1,0.13,30208.1,0.57,49564.7,1.562,31.24,48848.1,0.14,31751,18.05,-608.5,5.022,1.353,43.86049,-69.57817,4.6,2.47,12,771.3
1/14/2020,2020,1,14,10:15:19,0,BLOSdock1,0.15,30210,0.646,49566.4,1.671,31.24,48849.7,0.16,31752,18.05,-608.5,5.022,1.419,43.86049,-69.57817,4.6,2.47,12,771.2
1/14/2020,2020,1,14,10:15:20,0,BLOSdock1,0.16,30211.5,0.704,49567.3,1.756,31.24,48850.5,0.15,31753,18.05,-608.5,5.024,1.509,43.86049,-69.57817,4.5,2.47,12,771.3
1/14/2020,2020,1,14,10:15:21,0,BLOSdock1,0.15,30213.5,0.768,49568.7,1.85,31.24,48851.9,0.12,31754,18.05,-608.5,5.025,1.572,43.86049,-69.57817,4.5,2.47,12,771.4
1/14/2020,2020,1,14,10:15:22,0,BLOSdock1,0.16,30215.9,0.832,49570.4,1.943,31.24,48853.5,0.12,31755,18.05,-608.5,5.026,1.64,43.86049,-69.57817,4.3,2.47,12,771.4
1/14/2020,2020,1,14,10:15:23,0,BLOSdock1,0.15,30218.2,0.9,49572.3,2.042,31.24,48855.3,0.15,31756,18.05,-608.5,5.027,1.746,43.86049,-69.57817,4.1,2.47,12,771.3
1/14/2020,2020,1,14,10:15:24,0,BLOSdock1,0.16,30220.1,0.986,49573.5,2.168,31.24,48856.3,0.18,31757,18.05,-608.5,5.029,1.836,43.86049,-69.57817,4,2.47,12,771.3
1/14/2020,2020,1,14,10:15:25,0,BLOSdock1,0.15,30221.1,1.061,49574.4,2.276,31.25,48857.1,0.18,31757,18.05,-608.5,5.029,1.912,43.86049,-69.57817,3.8,2.47,12,771.3
1/14/2020,2020,1,14,10:15:26,0,BLOSdock1,0.16,30221.1,1.131,49574.5,2.378,31.25,48857.2,0.18,31757,18.05,-608.5,5.029,2.006,43.86049,-69.57817,3.5,2.47,12,771.4
1/14/2020,2020,1,14,10:15:27,0,BLOSdock1,0.16,30220.7,1.209,49574.4,2.493,31.25,48857.2,0.19,31757,18.05,-608.5,5.029,2.064,43.86049,-69.57817,3.5,2.47,12,771.3
1/14/2020,2020,1,14,10:15:28,0,BLOSdock1,0.16,30220,1.3,49574.1,2.624,31.25,48856.9,0.19,31757,18.05,-608.5,5.028,2.189,43.86049,-69.57817,3.4,2.47,12,771.2
1/14/2020,2020,1,14,10:15:29,0,BLOSdock1,0.15,30219.2,1.385,49573.7,2.748,31.24,48856.6,0.17,31757,18.05,-608.5,5.028,2.25,43.86048,-69.57818,3.3,2.47,12,771.3
1/14/2020,2020,1,14,10:15:30,0,BLOSdock1,0.15,30218.9,1.464,49574.3,2.863,31.24,48857.2,0.19,31757,18.05,-608.5,5.027,2.358,43.86048,-69.57818,3.3,2.47,12,771.3
1/14/2020,2020,1,14,10:15:31,0,BLOSdock1,0.16,30218.3,1.547,49574.8,2.985,31.25,48857.8,0.21,31758,18.05,-608.5,5.026,2.424,43.86049,-69.57818,3.4,2.47,12,771.3
1/14/2020,2020,1,14,10:15:32,0,BLOSdock1,0.16,30217.3,1.651,49574.3,3.137,31.24,48857.3,0.22,31757,18.05,-608.5,5.025,2.539,43.86049,-69.57818,3.6,2.47,12,771.3
1/14/2020,2020,1,14,10:15:33,0,BLOSdock1,0.17,30216.3,1.733,49573.7,3.256,31.24,48856.8,0.22,31757,18.05,-608.5,5.024,2.643,43.86049,-69.57818,3.6,2.47,12,771.2
1/14/2020,2020,1,14,10:15:34,0,BLOSdock1,0.17,30215.5,1.818,49573.5,3.38,31.24,48856.6,0.2,31757,18.05,-608.5,5.024,2.734,43.86049,-69.57818,3.7,2.47,12,771.2
